joint1,joint2,joint3,joint4,joint5,joint6,joint7,joint8,joint9,joint10,joint11,joint12
4.3546935,7.215346,7.2045275,6.727715,2.9478117,7.2032844,7.238182,7.299375,7.2001773,7.2017175,7.3881436,7.210331
7.240881,7.449624,7.176545,7.152545,7.1934362,3.742411,5.485364,6.7774883,7.2002316,7.206257,10.105957,7.227089
7.2805363,7.272062,7.231982,7.273572,7.194439,7.2120906,4.5926095,7.2055737,7.2002245,7.387299,7.2290135,7.240719
7.239287,7.2713934,7.235248,7.2408434,5.3835865,7.3293706,7.158195,7.238323,7.292583,7.2220946,7.220356,7.2204367
7.2083117,5.0848623,6.0305944,6.311716,3.031329,4.70207,3.8554884,3.99835,7.200157,7.2023965,7.209493,7.2309485
7.201214,7.23795,7.3456274,7.279741,7.2073756,7.2276183,7.2048164,7.2415596,7.2636515,7.2007853,7.513202,7.2361947
6.2786785,7.2028543,7.1817785,6.2123667,3.644134,4.793489,7.237475,4.295885,7.5541974,7.232528,7.261749,7.2335907
7.205122,7.193012,7.3025323,7.363099,7.2108284,7.2174965,7.241381,7.261583,7.23359,7.219847,8.198009,7.866506
7.20812,7.197011,5.690981,7.28301,6.782378,5.142639,6.800867,6.2668468,7.2002107,7.3126822,7.5389286,7.2540756
3.5195533,5.3177305,5.5944615,3.7988425,7.197582,3.3274535,5.661247,2.9222973,7.204824,6.8847085,7.2676135,7.2089306
7.2090794,7.185306,7.0686275,6.130561,7.227816,7.1958815,7.1699625,6.2827903,7.200208,7.2156273,7.2073265,7.233222
7.270631,7.267082,7.2604977,7.3890296,7.2077056,7.2258435,7.2870475,7.2314425,7.2002903,7.773026,7.230448,7.242301
6.5014325,7.165167,7.221355,5.3440243,7.215852,7.2538696,4.6882616,5.2723495,7.200104,7.194241,7.2290894,8.177691
7.212448,7.048437,7.388476,7.1631456,7.216009,5.489757,6.760894,4.890312,7.3669764,7.211986,7.508349,7.241781
7.2138315,7.2392603,7.232524,7.349994,7.200803,7.2284204,7.2161613,7.2444025,7.20024,7.2117015,7.2208277,7.2547494
7.215193,7.2505084,7.275725,7.3118845,7.200068,7.222961,7.2206555,7.2417437,7.200381,7.2184134,7.383427,7.626167
4.5850464,7.2454945,6.9424506,4.9550754,7.1327606,5.0785266,4.1343895,7.200166,7.2001487,7.2485195,7.196832,7.2178937
7.2065106,7.19909,7.291837,5.765367,7.245171,7.2416936,7.2483502,7.2308236,7.2360154,7.2106358,7.2070094,7.2257215
6.650808,7.252085,7.2977997,7.2780634,4.50545,7.2190715,7.3686763,4.477165,7.2449685,7.230274,7.217836,7.267948
5.1315223,7.1798593,7.184781,4.720145,2.2816216,6.7432214,7.1934753,5.9864217,7.240564,7.719187,7.2088266,7.241404
7.249394,7.1964594,7.245959,7.247432,7.2000285,6.2008596,6.897173,7.238866,7.36535,7.370608,7.249145,7.2455293
7.1866446,7.1809073,7.251211,7.4252034,6.201645,3.862097,6.1760536,7.236615,7.2001744,7.1951366,7.282971,7.2661496
7.217356,7.586052,7.2257277,7.2847005,8.14906,7.2332664,7.2174593,7.2238065,10.510361,7.2238675,7.3575393,7.2157837
4.649082,4.038593,7.243107,3.6799365,3.8958837,4.189709,6.6154743,2.7200345,7.2150703,6.967308,4.1003934,3.6888815
7.104855,7.2720953,7.3032685,7.2495733,7.15627,7.145292,6.453572,5.895773,7.384742,7.2369643,7.330006,7.2332874
7.346456,7.3320933,7.497462,7.2456633,7.2048136,7.389531,7.2149173,7.2831226,7.269697,7.319161,7.4942766,7.2366434
7.2189437,7.175848,7.352459,7.3102203,4.1350347,5.704015,5.368732,7.3041774,7.2002097,7.228983,7.529349,7.2511865
7.2910486,7.269039,7.2878,7.3083898,7.205843,5.5689474,7.223138,5.5419622,7.2002107,7.2418176,7.31098,7.2347456
7.2186233,7.2775517,7.155669,7.3397475,5.3362447,7.2396313,4.6997763,7.203528,7.2001797,7.221064,7.2633706,7.2381254
7.2424065,7.3122736,7.777624,7.3693977,7.2153035,7.223493,7.3286634,7.36038,7.20021,7.214048,7.317079,7.230127
7.4043985,7.04838,7.4751583,7.4322406,7.215451,7.20829,7.207839,7.2295333,7.466644,7.200327,7.207052,7.234117
7.4594193,8.099215,7.6220785,7.2231356,7.3026258,7.3458553,7.2185846,7.274901,7.200197,7.2188445,7.660243,7.257902
4.9246236,7.206011,7.25911,6.7216564,4.115589,6.211822,7.1711164,4.99744,7.294733,7.203972,7.2638913,7.238642
7.151829,7.178515,6.3237377,7.14239,5.133163,7.187603,6.1078406,7.239095,7.284421,7.212039,7.2117697,7.2269135
7.2017942,7.288647,7.334537,7.2371512,7.2065845,3.5516547,5.906648,6.8291293,7.2678205,7.2231055,7.587247,7.2626863
5.2823144,6.2470704,7.1461054,7.277701,4.8481294,6.5074564,6.9187447,7.008521,7.2002393,7.2120524,7.2353655,7.246655
7.3122355,7.2438584,7.3224813,7.3535305,7.2597295,7.249678,7.2490808,7.2526203,7.20026,7.222378,7.2275616,7.305245
7.249729,7.2506276,7.263771,7.3137513,7.273201,6.671679,7.2115375,7.194304,7.200189,7.209766,7.2233697,7.2119637
7.2109357,7.223272,7.2222267,7.357394,7.247784,7.291419,7.210561,7.2950483,7.848707,7.557859,7.310915,7.219568
7.2831613,7.202083,5.249309,7.213834,5.3676497,4.976296,4.174491,7.223057,7.316738,7.2193,7.219639,7.220047
6.2443543,7.2485133,7.251609,7.242005,3.9258986,7.096631,6.089571,5.5119463,7.2088076,7.2416745,7.237621,7.756685
7.230746,7.2826677,7.4056717,7.337656,7.2039634,7.218857,7.2450877,7.2691384,7.2003766,7.22508,7.2346865,7.2438804
7.2168313,7.2068854,6.1970173,7.2800013,7.0636116,4.9372855,6.7534233,7.275662,8.305809,7.199968,7.25926,7.2248198
7.216841,7.2057973,6.5443913,7.2331425,4.7806617,6.473501,3.850496,7.267389,7.943795,7.200568,7.2653366,7.254778
7.3082825,7.270718,7.221881,7.251636,7.228058,7.20124,7.246328,7.2343317,7.3849803,7.274126,7.2135664,7.4800483
7.2862955,7.2475506,7.287476,7.4409705,7.2057444,7.214462,7.196224,7.46401,7.2002293,7.228672,7.2459985,7.2291614
4.863219,7.1728765,7.2787343,7.202092,4.8530437,5.697219,5.5985213,6.3074265,7.200261,7.215936,7.244309,7.2269484
7.210861,7.2620417,7.4370647,7.445956,5.7437593,7.228087,7.2442757,7.600809,7.2003833,7.8450485,7.2117134,7.4201838
7.298589,7.702803,7.3324343,7.5245367,7.348313,7.2838813,7.157635,7.281657,7.241876,7.204509,7.2520615,7.270189
5.297235,7.221099,7.203957,3.5427037,2.6322077,7.2217937,4.7644444,7.196974,7.27754,7.2130857,7.381824,7.2318784
7.2278257,7.2524754,7.2620607,7.2466494,6.130576,5.231947,6.3402897,6.0132333,7.247052,7.2872797,7.2220512,7.906318
7.2118584,7.212909,7.601361,7.2876073,7.2203303,7.296954,7.2444926,7.211133,7.205451,7.2331253,7.619542,7.2892095
4.5166536,7.259293,7.216033,3.672761,6.171766,4.311442,7.2038804,4.523023,7.200283,7.2935906,7.232019,7.215778
7.199655,4.2452093,6.0463334,7.0646063,7.203973,4.615103,7.181244,6.7840916,7.200224,7.198277,7.3346735,7.285835
5.28185,5.4193,6.902577,7.2498933,7.23738,7.3100315,3.6812335,7.1642815,7.200191,7.19805,7.200614,7.233705
7.277485,7.265458,7.1345874,7.2010056,7.1037007,6.3654734,5.3232256,4.7986785,7.2001854,7.2181345,7.2108837,7.225625
7.2157894,7.2497545,9.627931,7.2807237,7.2484203,6.420253,8.816313,7.1703707,7.2350408,7.2208963,7.233578,7.2542454
7.370359,7.239873,7.325308,7.1862603,6.3666473,7.2100926,6.108451,7.2429877,8.098697,7.265654,7.2366267,7.2764627
7.2183057,5.889313,7.347228,7.36918,4.6314574,6.585677,6.433804,7.199721,7.2215315,7.223872,7.940867,7.2338353
7.2484227,7.2050386,7.1848837,7.800553,5.830582,5.3720895,7.1676165,5.3959113,7.2003027,7.218988,7.211152,7.237915
7.2248403,7.332008,7.275524,7.3595396,5.1205016,7.338516,7.248158,7.5529347,7.200239,7.211311,7.285164,7.249098
7.1771713,7.3096696,7.287104,7.2512184,3.6544868,7.218396,7.1665383,5.3895174,7.2001086,7.2078625,7.2490226,7.235574
7.2420164,7.2766768,7.332535,7.2945558,7.2000304,7.2950326,7.245402,7.304506,7.200362,7.214559,7.247518,8.747898
4.6294943,7.26531,5.4512716,4.286488,6.07478,2.5368834,4.1804515,7.0434114,7.357992,7.2258144,7.234893,7.1950294
7.2753926,7.3816577,7.279925,7.2746945,7.2031084,7.243395,7.220351,7.2210027,7.2002426,7.207899,7.2124854,7.2705904
7.1439725,6.8035136,7.2692734,6.763686,6.4058205,7.0823437,7.1927186,7.201066,7.212737,7.2217594,7.221421,7.2333704
7.2241946,7.232078,5.344898,7.1959973,4.608868,2.8272887,7.18062,4.9322077,7.2002364,7.2019096,7.253857,7.231424
7.19928,4.457953,7.2082478,7.301547,7.2216435,5.337097,4.4438487,7.214776,7.288543,7.1981946,7.536795,7.235947
7.203899,7.2359463,7.443345,7.611826,7.191772,7.202938,7.2372128,7.34295,7.216373,7.224946,7.327132,7.2570387
7.202264,7.2335135,7.3153926,6.626492,4.5491477,4.026473,6.2977296,3.7565285,7.2000586,7.2138062,7.2075273,7.2187954
7.179432,7.237108,7.2937456,4.3465625,4.2573687,7.207202,7.2385064,3.864888,7.2002226,7.224094,7.5408264,7.251268
5.9601456,7.333858,7.288044,5.452934,6.3886887,7.3098055,8.2060915,3.708448,7.200224,7.2075916,7.705419,7.234466
7.215243,6.6813527,7.2133842,6.7513777,7.3435656,5.803839,5.986101,6.460058,7.236996,7.3266574,7.2084037,7.279612
7.199967,7.2968765,7.3970357,7.2156626,4.3605233,7.193579,7.0968777,7.244392,7.200289,7.214362,7.320395,7.2485395
6.131419,7.250713,7.3300696,6.2600456,3.9645144,7.1588956,7.2587067,4.680874,7.22961,7.2539803,7.2154795,7.2185184
7.1866017,6.2437526,7.3240434,7.3138515,7.204739,7.2220455,5.888098,7.197428,7.2154985,7.203469,7.7330805,7.321219
7.205644,7.2627235,7.2720653,7.3198806,5.573806,7.1537705,6.520626,7.2278143,7.204485,7.211056,7.480889,7.990045
6.6187387,3.3996023,7.303271,7.424241,7.02206,3.3266333,4.474599,7.202722,7.3002316,6.618617,7.3219357,7.2407
