joint1,joint2,joint3,joint4,joint5,joint6,joint7,joint8,joint9,joint10,joint11,joint12
7.2750245,7.2318927,7.670723,7.2580305,7.25501,7.1968084,7.4767753,7.195775,7.0085793,7.225367,7.232625,7.249856
5.789623,4.3000017,7.199444,5.1318065,4.2501493,7.2065207,3.0481757,7.0627533,7.237855,7.225251,5.2643467,6.5732842
7.215157,7.502427,7.240778,6.768499,7.25648,7.251295,7.2937685,7.222047,7.2007204,7.429646,7.216707,8.503717
5.324105,7.2849823,4.601583,5.4786316,5.48746,2.6727654,7.222827,2.8327044,6.3544613,4.497522,7.202374,6.3345653
7.19874,7.1021167,7.243473,4.3998834,7.2424,7.2052217,6.7161065,5.5011884,7.324427,7.269137,7.276775,7.283415
7.077625,5.2708765,2.1347164,7.2600876,5.5609375,4.5271216,3.5837558,3.3257514,7.317777,6.090872,5.6263104,7.4188486
3.553241,4.805201,5.3525697,6.950728,2.706275,7.1517325,5.206696,5.505182,7.1214195,4.4884034,7.437416,7.3087803
7.201789,5.931336,7.213931,5.1088162,7.2737986,4.7055527,7.2451926,7.2636243,6.2658387,7.41438,7.222721,7.5501076
7.196508,7.4160334,7.270122,7.2417794,7.272551,7.2166434,7.2335077,7.2169105,7.203111,7.456838,7.2213465,7.2158957
7.245357,7.2535387,7.1577664,7.3623496,7.2373754,7.737748,7.2825395,7.2224613,7.199868,7.612188,7.419457,7.5334083
7.1970893,5.0519887,7.178524,7.226079,7.2127887,7.2221175,6.247747,7.183101,6.1625114,5.964491,4.150248,4.295399
5.0984565,6.2958866,4.6643945,7.679123,4.47357,7.195454,4.111678,7.2754465,7.234341,7.1970297,5.7287875,7.2066656
7.775119,7.317562,7.2247745,5.5832997,7.254586,7.2351776,7.2364837,7.2456213,7.2230736,7.2126738,7.5254184,7.2055264
7.228092,7.3046537,7.5358635,7.213246,7.228978,7.0610868,7.270417,6.613685,7.4345923,7.203722,7.216329,7.2642075
