joint1,joint2,joint3,joint4,joint5,joint6,joint7,joint8,joint9,joint10,joint11,joint12
3.4421666,4.9256268,0.88829815,0.65433156,7.467572,5.069086,1.5493709,1.1395469,5.6902094,6.2035494,0.558529,6.938821
22.612894,7.7569447,10.720573,10.000559,14.686753,6.98471,11.030007,12.085922,16.331392,20.069708,10.631935,6.1772323
19.212965,12.398484,6.890441,9.904744,8.592659,8.077244,8.716309,6.201174,10.449341,5.4650884,17.393581,17.53427
2.8417711,4.5295057,4.0270147,4.445874,10.934586,11.330235,4.2970476,7.00353,12.740204,13.492551,3.0530894,9.091456
15.502252,15.678397,5.7906656,13.126297,9.516727,14.114271,8.552344,14.764819,9.527544,11.180805,6.4420147,14.227754
12.653743,15.794217,11.568883,26.574608,10.362683,14.401225,9.640075,17.610537,16.219023,19.728596,19.502218,17.856604
30.035624,30.091621,16.934637,17.577263,19.968718,14.126631,12.038056,19.166441,19.89672,20.75109,19.776758,17.089449
22.026897,18.263374,15.983343,9.111777,15.676088,8.992126,17.045067,10.617373,19.7644,18.418581,14.260403,12.526488
12.923291,7.92754,5.764367,8.47394,9.767306,7.253038,4.079259,7.042194,4.5205774,17.140028,3.0882602,17.888638
21.06642,16.95162,17.730358,10.965248,15.018437,8.806332,14.904602,8.829592,16.521742,20.04427,15.559784,17.348288
2.975684,5.847022,2.8609943,2.3413746,1.6259366,2.874987,2.7261908,2.676412,4.7350907,7.6906805,2.9841962,3.7636142
27.096058,20.929049,18.951633,19.723646,18.33936,21.02951,13.487321,14.05697,20.001371,20.06083,15.813525,20.001596
30.047125,29.97647,17.062248,21.689802,22.419827,20.13451,9.289469,17.185863,20.070004,20.070011,19.691301,16.225378
12.693171,16.162386,12.113162,8.3103695,15.430793,7.145074,13.799727,8.918946,14.584893,18.401815,15.150395,13.144098
8.921112,12.359792,12.882885,19.357641,8.579406,18.673113,12.313812,18.373703,14.351958,18.772299,16.423244,14.43826
8.546003,5.4232802,6.886331,8.521824,12.586331,8.145298,9.983319,9.647385,10.028421,10.063059,12.833131,13.49199
20.136532,13.897462,15.761165,11.28656,14.20897,13.197027,18.300247,8.794701,15.15601,18.417645,15.76664,19.868732
17.000721,6.563474,9.541258,6.689328,12.93308,6.208586,7.5049367,6.977686,10.027097,6.321103,5.0600944,5.722084
17.740505,13.294759,18.380465,21.255728,9.806332,11.697052,12.556309,19.931541,18.424816,19.806929,15.960775,11.790335
20.724688,11.879428,14.405021,12.796429,16.734022,10.143664,13.753371,8.480796,20.000383,16.617039,14.370346,10.826997
14.868851,6.8279295,8.4622,6.818379,7.558735,8.060195,12.480979,11.212102,8.080127,18.04499,14.362548,13.596529
5.4751043,5.3444505,3.6865082,6.230115,3.2302084,2.5644035,9.3069315,2.7142642,7.431495,2.7519948,8.667692,2.6403434
16.043571,7.3123236,10.483221,11.383891,10.640403,10.324372,10.941509,9.088553,13.650522,12.1522,9.692665,5.8705807
10.469401,15.074689,16.059538,12.573854,11.666809,13.8653145,13.73634,11.166825,16.877327,10.737609,9.88566,12.249037
9.598915,6.701195,2.7484248,5.3110476,9.8413925,6.2470646,3.5673068,8.087472,6.3706264,3.0535688,5.0015116,5.6636715
7.4168715,6.437147,8.051234,5.605084,21.079363,8.436764,4.358347,4.352398,16.564852,13.949318,10.090464,9.912282
14.192528,13.59114,15.057725,17.523726,11.245263,13.111475,12.425458,15.783257,12.80796,20.065767,10.960743,11.9830475
20.304874,13.150438,13.01348,10.158078,16.915815,7.8286853,20.6065,11.162709,20.070015,16.43884,12.964282,13.671132
23.05521,13.04256,12.8700905,13.556285,14.4910345,11.272878,13.0215025,9.325968,19.205452,20.07001,12.16766,14.756395
8.957852,6.934928,8.352564,5.7514553,6.099419,9.900996,6.1889973,8.487368,8.61569,10.735332,6.9966288,9.577814
12.930185,14.832047,14.227062,10.673727,9.316328,15.503828,7.965171,9.804823,15.820981,15.02475,11.551205,11.714132
2.3397102,4.797677,3.618103,4.3229666,3.290958,2.0211346,3.6436868,2.2826865,4.7324553,3.8097246,5.9505553,2.72847
14.801056,15.496078,17.310495,16.714472,14.797003,17.977388,15.522524,17.075848,12.441217,17.102844,9.8688545,15.574792
6.69513,8.108652,9.224282,6.290328,6.842698,7.447806,5.784856,6.779878,6.3586555,5.950643,5.615443,9.199754
5.0290284,6.683288,5.1127176,2.6054552,6.7285676,7.4019957,4.9335055,6.533201,5.9573417,6.8836656,4.598788,7.183953
19.373434,21.926493,19.094353,18.792679,19.564426,22.968184,14.348295,18.422483,15.909154,16.06851,20.085003,16.863573
5.350734,12.465304,3.0202215,6.045223,6.8567276,7.6008058,5.7858987,5.0030065,8.62906,3.4959111,14.783314,6.7972493
17.934801,11.135073,7.2517285,8.531815,7.208546,10.721853,7.541999,5.695565,8.6143675,14.278295,15.637068,11.450352
