joint1,joint2,joint3,joint4,joint5,joint6,joint7,joint8,joint9,joint10,joint11,joint12
2.202164,4.8405423,4.464405,8.215664,4.7317,5.530663,5.1874866,6.74981,10.702945,3.6437895,7.5547123,4.0654936
10.025921,18.691395,8.013964,11.5593195,15.993756,10.895289,12.442658,16.145842,10.691765,9.509374,10.324301,19.620344
11.018208,11.882742,10.567039,16.056547,12.085665,10.408765,21.70204,16.560854,10.653361,13.061995,13.95727,20.070139
19.498674,23.566498,12.518761,14.184923,11.256544,23.185862,13.203466,11.192364,16.58391,15.190605,16.328587,18.19632
9.775049,8.690067,7.512228,5.514137,3.4369142,6.05304,9.602869,6.4731836,5.213609,4.2898865,6.8463683,6.9108124
6.357061,6.7487364,7.5947795,9.325806,10.302473,6.5250664,9.719844,9.073524,10.111865,6.8896947,11.893486,8.472892
3.8752522,5.589144,5.559364,13.008357,7.4678917,3.0083818,9.719358,5.6705947,8.425209,4.1306443,6.9434643,4.2802505
12.537789,17.140244,10.833435,13.355729,10.997306,14.325031,12.934665,18.182926,11.876606,8.060459,13.726166,20.068615
12.626528,8.261965,9.93417,8.966896,9.225142,7.1981416,11.84427,11.640377,5.762661,10.872785,12.979704,11.11622
20.585827,16.07458,8.346088,8.487179,11.1853485,9.631242,9.5423355,10.262904,15.271989,11.115841,11.894662,11.985535
10.629371,8.140667,9.581314,13.322193,11.401924,12.764738,14.107428,17.725237,9.56705,6.554696,13.478093,18.761644
22.289764,17.016588,17.235476,10.878217,12.464241,18.093266,10.075281,9.046283,10.397034,12.89342,11.204875,20.063066
18.79579,25.188362,15.647811,12.5074005,11.26124,22.077915,9.453669,7.186697,15.590446,12.373776,9.320234,12.805228
10.73203,14.559744,7.7531505,13.970251,7.003468,8.88384,12.988192,7.00494,5.8142867,8.611346,10.99258,13.014526
18.253937,8.807443,9.632321,8.401727,13.274722,6.8797517,8.42307,18.111607,11.648283,9.791001,8.4295225,20.085407
2.2109344,1.6558912,8.7999735,4.608337,2.3970704,7.1651897,4.6179686,3.1444106,8.436359,1.5864955,3.7962115,8.111193
18.037811,15.687721,6.960019,6.39047,13.20489,15.615541,7.8058424,8.088682,8.357958,20.189575,7.820833,17.789103
21.132013,11.854313,10.269235,12.563654,17.405987,10.832697,17.331186,10.417442,11.083319,11.038169,18.304527,16.524963
3.078868,4.243971,7.813775,5.6224456,7.5541153,8.647815,6.4881797,4.964924,12.263817,7.452902,7.027061,9.989552
8.841082,6.994233,7.9532332,10.572529,3.341953,10.2442,5.601856,10.659149,3.81625,11.659929,7.8615317,8.037687
17.119759,20.77829,11.073738,15.114327,11.781784,10.088715,9.284518,9.83591,7.986071,9.0669,9.961732,10.589089
27.974602,30.04592,21.127947,26.97595,27.878593,24.262287,26.838596,14.646185,18.182737,14.550042,20.083162,19.908073
18.767836,14.005311,9.560405,8.125494,12.174562,9.913083,11.541524,14.958777,7.3141756,7.4756336,11.744132,12.346884
7.1966033,7.1231637,14.152207,7.7585053,7.430506,11.753859,4.552738,9.231347,10.343164,14.762957,10.430031,9.28024
18.806826,11.871018,10.251318,9.514403,8.1675625,8.52364,7.210768,13.421301,12.050108,8.511786,9.657169,11.076423
12.073115,15.42643,12.863431,14.168203,7.6772866,9.705451,18.270414,9.697747,7.1937504,6.6468987,12.140373,15.626473
16.690464,13.828132,16.39784,14.048318,8.688465,16.48039,13.511278,11.29024,11.058815,7.3460965,12.785311,18.221066
18.857807,16.349152,9.627867,9.100616,13.955828,13.033571,16.424368,10.544015,12.834386,15.552342,9.546736,13.842213
11.284912,12.7479105,7.363015,11.32484,4.9110284,5.3193297,13.2133665,9.970953,3.768564,4.4465995,15.768328,6.4905643
9.425908,14.273729,8.162454,12.541123,8.553273,13.862087,17.693634,11.974293,8.152652,8.042991,13.476355,20.008482
12.181456,14.324146,15.487194,17.695805,8.899344,17.372522,17.549585,10.714549,6.6709843,7.6532865,13.749551,16.411282
9.821461,5.9860077,8.023653,15.290698,8.479556,7.4509535,9.142413,9.29976,6.730464,5.967792,7.236484,12.144435
9.274415,4.555262,5.675362,6.8179836,2.9907656,7.0940046,2.2905512,8.014136,4.601423,9.032119,8.916809,4.1830654
6.7282004,11.653549,13.277582,8.59054,7.1983657,9.704039,9.446597,11.519541,6.849971,5.656405,9.749187,16.597998
4.671459,4.4989085,4.344439,5.890901,3.7303724,5.1173563,4.252417,5.575884,8.306597,4.1968412,3.6308494,6.628854
16.711641,18.518835,10.344015,8.56371,16.721745,10.183037,7.457293,14.364107,10.003985,16.794954,11.930439,11.173225
18.953348,13.522185,12.797817,13.009896,16.486599,13.3337755,16.789238,14.935702,9.859299,8.917987,14.020711,19.931759
8.088192,11.200396,9.559577,13.361727,7.636031,13.353689,8.449188,7.0157514,6.4560924,5.702317,13.366598,12.656545
18.010994,14.8801985,11.889751,7.061316,11.711746,10.941097,10.121738,9.675789,3.77247,9.851888,12.174166,15.094171
5.3204217,9.011664,4.873274,5.8496394,12.329687,8.393151,9.988504,11.370907,13.089091,5.267892,10.135001,11.238264
3.5693512,5.1005073,5.616164,3.3603625,8.593679,8.129477,9.057389,6.2664776,12.453373,3.6924763,9.452027,9.201889
10.92517,6.080846,7.5057287,6.138601,9.84079,11.651399,4.401964,5.592954,8.142681,20.005444,6.520368,8.766805
7.1935024,8.964058,5.2144065,5.017755,4.8737607,13.874922,13.581123,11.263873,10.602761,4.3488274,10.704545,14.665227
16.354416,17.26633,11.855373,11.662757,9.62309,9.777784,9.674311,15.657399,14.878543,11.448963,15.457493,20.04023
2.4766626,1.2506578,5.0378094,2.2243145,6.7235193,8.842391,7.882011,8.170889,12.303961,10.692548,7.145179,8.474075
7.13475,14.169346,5.153241,5.932441,2.961457,5.8113623,4.0900164,7.6044374,4.9529614,10.18693,8.558253,5.9186683
7.176409,5.9174237,5.2700276,7.3300953,4.198331,3.8177648,6.870823,3.372054,8.874105,4.380459,7.33065,5.203575
